0,16,08/01/2017,02/03/2017,YKNX
1,22,09/01/2017,20/01/2017,RRHR
2,9,19/01/2017,22/02/2017,AHDR
3,22,20/01/2017,01/07/2017,YKNX
4,1,25/01/2017,26/05/2017,VSPW
5,23,03/02/2017,04/05/2017,LPRA
6,2,03/02/2017,21/04/2018,VSPW
7,24,16/02/2017,24/01/2019,RRHR
8,9,22/02/2017,05/03/2017,RRHR
9,16,02/03/2017,09/03/2017,UEQG
10,9,05/03/2017,09/04/2017,EMLP
11,29,08/03/2017,24/01/2018,AHDR
12,16,09/03/2017,08/05/2017,YKNX
13,9,09/04/2017,10/06/2017,RRHR
14,23,04/05/2017,16/06/2017,DPJJ
15,21,07/05/2017,13/05/2017,TSCW
16,16,08/05/2017,04/11/2017,YKNX
17,17,11/05/2017,19/08/2017,YKNX
18,21,13/05/2017,12/08/2017,LPRA
19,10,16/05/2017,04/09/2017,VSPW
20,3,23/05/2017,07/01/2018,TSCW
21,1,26/05/2017,25/06/2017,UEQG
22,8,08/06/2017,28/06/2017,UEQG
23,9,10/06/2017,02/08/2017,DPJJ
24,23,16/06/2017,22/07/2017,TSCW
25,1,25/06/2017,10/07/2017,YKNX
26,8,28/06/2017,16/02/2018,RRHR
27,22,01/07/2017,01/10/2017,YKNX
28,1,10/07/2017,18/07/2017,TSCW
29,1,18/07/2017,25/08/2017,UEQG
30,28,20/07/2017,15/08/2017,AHDR
31,23,22/07/2017,24/08/2017,GHCV
32,9,02/08/2017,26/08/2017,RRHR
33,15,11/08/2017,04/02/2018,RRHR
34,21,12/08/2017,14/01/2018,TSCW
35,28,15/08/2017,21/01/2018,RRHR
36,17,19/08/2017,16/10/2017,YKNX
37,30,24/08/2017,03/11/2017,LPRA
38,23,24/08/2017,11/01/2018,TSCW
39,1,25/08/2017,19/02/2018,TSCW
40,9,26/08/2017,01/09/2017,RRHR
41,9,01/09/2017,07/11/2017,VSPW
42,10,04/09/2017,04/07/2018,GHCV
43,22,01/10/2017,20/11/2017,LPRA
44,17,16/10/2017,19/11/2017,DPJJ
45,30,03/11/2017,11/05/2019,DPJJ
46,16,04/11/2017,23/03/2018,UEQG
47,9,07/11/2017,19/02/2018,GHCV
48,17,19/11/2017,17/01/2018,VSPW
49,22,20/11/2017,24/01/2019,UEQG
50,3,07/01/2018,21/02/2018,GHCV
51,23,11/01/2018,24/11/2018,EMLP
52,21,14/01/2018,09/02/2018,YKNX
53,17,17/01/2018,11/03/2018,VSPW
54,28,21/01/2018,28/01/2018,UEQG
55,29,24/01/2018,19/04/2019,YKNX
56,28,28/01/2018,05/06/2018,LPRA
57,15,04/02/2018,11/02/2018,UEQG
58,21,09/02/2018,02/03/2018,EMLP
59,15,11/02/2018,10/10/2018,VSPW
60,8,16/02/2018,26/04/2018,TSCW
61,1,19/02/2018,27/05/2018,DPJJ
62,9,19/02/2018,05/08/2018,GHCV
63,3,21/02/2018,25/05/2018,TSCW
64,21,02/03/2018,10/06/2018,VSPW
65,17,11/03/2018,03/04/2018,VSPW
66,16,23/03/2018,24/03/2018,RRHR
67,16,24/03/2018,16/03/2019,TSCW
68,12,28/03/2018,26/08/2018,VSPW
69,17,03/04/2018,16/08/2018,EMLP
70,2,21/04/2018,17/06/2018,TSCW
71,8,26/04/2018,03/09/2018,AHDR
72,3,25/05/2018,17/07/2018,LPRA
73,1,27/05/2018,25/11/2019,RRHR
74,28,05/06/2018,17/10/2018,RRHR
75,21,10/06/2018,27/02/2019,LPRA
76,2,17/06/2018,0,AHDR
77,14,23/06/2018,18/08/2018,DPJJ
78,10,04/07/2018,11/11/2018,TSCW
79,3,17/07/2018,04/10/2018,AHDR
80,18,19/07/2018,18/10/2018,TSCW
81,9,05/08/2018,06/08/2018,EMLP
82,9,06/08/2018,20/02/2019,TSCW
83,17,16/08/2018,26/09/2018,UEQG
84,14,18/08/2018,04/07/2019,EMLP
85,12,26/08/2018,0,AHDR
86,8,03/09/2018,25/04/2019,TSCW
87,13,06/09/2018,23/11/2018,LPRA
88,17,26/09/2018,24/01/2019,EMLP
89,3,04/10/2018,11/11/2018,RRHR
90,15,10/10/2018,03/02/2019,YKNX
91,28,17/10/2018,22/10/2019,YKNX
